geonameid,Place Name,latitude,longitude,feature_class,Category,State Code,City Code,Estimated Visitors,Tourism Rank,Popularity Level
10693171,Saraneshwar Temple,24.9147,72.87184,S,Temple,24.0,117.0,20000,2.83,Less Explored
10693194,Jain Temples,24.7832,72.78553,S,Temple,24.0,117.0,20000,2.83,Less Explored
10693834,Rani Dongri,20.51856,81.3338,T,Mountain,37.0,413.0,5000,2.79,Less Explored
10693939,Malpathar,22.67027,80.2558,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10693965,Sahasradhara,22.63159,80.33646,S,Temple,35.0,454.0,20000,2.83,Less Explored
10694204,Churia Dongri,20.31495,81.37719,T,Mountain,37.0,413.0,5000,2.79,Less Explored
10694302,Bagar Dongri,20.26308,81.43615,T,Mountain,37.0,413.0,5000,2.79,Less Explored
10694337,Amar Dongri,20.11425,81.31972,T,Mountain,37.0,413.0,5000,2.79,Less Explored
10694351,Hajura Dongri,20.03087,81.33709,T,Mountain,37.0,643.0,5000,2.79,Less Explored
10694363,Halekurum Dongri,20.05213,81.36648,T,Mountain,37.0,413.0,5000,2.79,Less Explored
10694380,Pat Dongri,20.12996,81.34228,T,Mountain,37.0,413.0,5000,2.79,Less Explored
10694422,Prichan Dongri,20.028,81.43944,T,Mountain,37.0,643.0,5000,2.79,Less Explored
10694626,Dhuanqhardadar,22.43652,80.29376,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10694761,Malidadar,22.38286,80.47184,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10694934,Sati Pahar,22.91903,80.55475,T,Mountain,35.0,453.0,5000,2.79,Less Explored
10694945,Deo Dongar,22.86065,80.57158,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10694954,Kopimatta Dadar,22.82761,80.54216,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10694957,Chaura Pahar,22.80663,80.57203,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10694958,Hazari Dadar,22.83059,80.57651,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10694959,Hannaimatta Dadar,22.79837,80.50149,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10694967,Damanmatta Dongar,22.77513,80.54276,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10694990,Lasanmatta Pahar,22.83532,80.65105,T,Mountain,35.0,453.0,5000,2.79,Less Explored
10695005,Daldala Pahar,22.79744,80.59322,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10695116,Rani Mahal,22.62577,80.52742,S,Palace,35.0,454.0,15000,2.81,Less Explored
10695119,Moti Mahal,22.61213,80.51022,S,Palace,35.0,454.0,15000,2.81,Less Explored
10695177,Magda Tauria,22.55361,80.5959,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10695187,Bijaghat Dongar,22.53951,80.66857,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10695188,Chandni Dongar,22.73027,80.67591,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10695196,Pathan Dongar,22.6877,80.74922,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10695283,Machhi Pahar,22.38647,80.5616,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10695286,Lahnga Dadar,22.34033,80.5255,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10695287,Rondagarh,22.36892,80.57284,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10695292,Lahudari Pahar,22.32952,80.56191,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10695326,Bhalu Dongar,22.47644,80.67211,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10695339,Chhindi Pathar,22.2828,80.70525,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10695341,Baba Dongar,22.26002,80.73417,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10695354,Bija Dongar,22.36571,80.7143,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10695644,Silli Dadar,22.22669,80.57627,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10695665,Jhanda Pahar,22.00258,80.52378,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10695697,Bajai Dongar,22.11214,80.633,T,Mountain,35.0,457.0,5000,2.79,Less Explored
10695805,Dukh Nawaran Gurudwara,31.49188,74.89297,S,Temple,23.0,50.0,20000,2.83,Less Explored
10696022,Kothipad Dongar,22.82578,80.83817,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10696061,Sanghati Dongar,22.80292,80.89765,T,Mountain,35.0,453.0,5000,2.79,Less Explored
10696087,Bahera Dongar,22.89356,80.96327,T,Mountain,35.0,453.0,5000,2.79,Less Explored
10696438,Kheota Pahar,22.64339,80.7848,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10696454,Karela Dongar,22.56758,80.80912,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10696468,Chorki Dongar,22.50647,80.83243,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10696767,Katulkhudra Dongar,22.49566,80.90402,T,Mountain,35.0,454.0,5000,2.79,Less Explored
10696774,Hathi Dongar,22.39605,80.90528,T,Mountain,35.0,454.0,5000,2.79,Less Explored
